STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,51,35,43,46,55,,,,,,,,,54,48,52,38,44,38,46,45,42,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,52,34,40,44,57,,,,,,,,,52,49,53,37,43,37,43,44,42,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,44,47,35,39,50,56,,,,,,,,,50,50,45,41,45,37,42,41,44,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,45,45,43,47,55,53,,,,,,,,,54,50,44,39,46,36,40,45,41,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,46,45,45,50,48,55,,,,,,,,,50,47,46,48,44,40,40,43,38,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,46,45,47,48,47,54,,,,,,,,,47,53,50,45,51,42,43,44,43,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44,47,42,51,47,54,,,,,,,,,49,55,45,48,57,42,47,45,47,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,42,45,41,55,44,51,,,,,,,,,50,55,47,50,60,42,44,47,47,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,50,43,43,53,47,49,,,,,,,,,53,56,44,52,47,45,41,47,46,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,43,42,39,51,50,49,,,,,,,,,52,49,42,50,45,49,38,40,46,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,42,41,34,47,46,45,,,,,,,,,49,47,42,45,47,50,37,42,46,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,36,45,47,47,,,,,,,,,43,48,45,43,46,51,43,44,46,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,43,49,37,46,48,44,,,,,,,,,43,51,44,48,46,57,44,48,47,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45,44,40,47,43,46,,,,,,,,,47,52,53,42,45,67,44,47,48,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,42,45,34,48,43,48,,,,,,,,,42,53,55,45,46,68,47,47,42,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,41,46,43,47,49,43,,,,,,,,,44,51,52,49,46,58,51,43,43,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,49,46,44,47,54,45,,,,,,,,,42,48,50,51,47,53,48,44,51,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,46,49,49,44,57,47,,,,,,,,,46,46,48,46,41,51,47,45,54,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45,52,49,41,49,48,,,,,,,,,48,47,48,49,41,50,45,47,46,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,48,49,49,47,45,,,,,,,,,54,50,47,47,43,51,43,46,49,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,45,44,44,46,47,47,,,,,,,,,47,57,47,46,44,48,42,47,51,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,47,43,40,48,47,48,,,,,,,,,47,58,49,47,47,49,43,47,53,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,46,46,47,47,49,44,,,,,,,,,48,54,50,47,47,52,45,47,53,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,44,44,48,55,51,46,,,,,,,,,48,53,44,49,48,53,49,42,49,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,44,,48,57,64,48,,,,,,,,,47,56,49,47,50,53,49,43,49,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,48,47,50,51,47,48,,,,,,,,,46,53,54,47,50,55,47,47,46,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,52,44,46,44,45,47,,,,,,,,55,50,47,58,50,47,56,43,50,47,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44,55,40,46,42,46,47,,,,,,,,53,49,47,59,48,43,60,43,49,47,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,41,53,41,49,42,50,47,,,,,,,,53,49,47,54,46,45,56,43,50,48,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,41,56,82,,43,56,46,,,,,,,,54,48,46,54,49,45,52,43,50,46,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,44,47,45,,41,50,50,,,,,,,,54,49,48,54,51,49,54,42,43,43,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45,45,43,,46,51,54,,,,,,,,50,50,49,49,51,54,50,48,47,45,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,45,44,,49,50,47,,,,,,,,45,56,49,53,53,57,49,49,48,55,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,49,45,55,54,52,46,,,,,,,,46,57,51,59,47,48,52,48,45,55,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,42,52,45,52,49,53,48,,,,,,,,48,50,51,63,46,50,51,50,44,43,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,47,51,41,51,52,55,45,,,,,,,,53,50,53,56,49,54,49,54,45,41,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,51,53,47,53,53,60,44,,,,,,,,49,51,48,53,46,51,49,55,44,42,44
