STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-22,47,50,50,47,44,45,50,46,43,35,52,45,45,50,45,48,54,45,64,49,55,49,55,48,48,58,45,52,55,52,50,51,53,56,42,62,44,51,51,47,52,51,51,51,55,46,45,58,43,50,48,50,49,50,53,49,61,56,49,48,58,57,54,44,50,46,42,53,51,46,38,42,47,52,35,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-23,47,59,49,47,49,47,53,45,36,53,61,48,47,51,41,43,52,45,54,55,56,43,57,48,48,59,47,58,51,54,52,43,56,58,41,61,47,51,55,53,58,51,52,52,49,42,45,58,43,53,50,48,49,47,44,47,50,59,47,44,54,57,48,37,47,50,45,55,58,44,40,45,48,49,36,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-24,44,62,49,42,50,48,48,41,41,55,56,47,39,47,37,43,52,51,56,51,59,54,60,47,42,56,50,50,44,53,48,51,59,46,48,51,53,49,58,50,59,51,53,55,56,43,42,51,43,55,47,53,47,49,41,46,53,61,46,44,56,48,51,35,44,48,44,52,57,47,45,42,50,46,40,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-25,47,62,58,42,50,48,46,41,44,56,49,50,41,40,37,51,51,59,49,49,55,49,57,47,48,55,50,53,46,45,47,58,57,52,51,58,46,49,60,50,59,48,52,63,64,46,45,50,44,47,48,48,49,49,50,49,52,51,47,45,55,45,54,31,45,51,54,50,62,44,43,44,51,48,48,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-26,49,62,53,44,44,47,47,36,40,54,45,46,38,43,36,53,49,50,48,51,59,50,57,40,44,51,47,53,47,50,49,47,57,55,46,50,46,49,59,50,61,44,54,66,67,49,48,49,44,44,47,47,50,49,48,47,53,47,50,47,56,38,52,34,41,48,57,53,57,41,45,43,53,51,50,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-27,47,62,46,44,46,46,47,37,46,51,48,49,40,45,39,50,52,51,43,56,70,54,50,38,57,56,49,49,44,55,49,49,57,57,49,50,58,53,68,49,59,41,65,63,66,53,51,49,42,46,48,50,52,55,44,51,51,61,50,42,53,47,54,42,44,50,55,50,56,41,47,43,57,49,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-28,50,66,50,43,44,39,44,40,47,55,48,55,41,49,34,50,47,48,40,50,68,54,50,37,56,54,52,54,42,54,48,45,53,65,60,50,53,46,60,43,62,49,65,59,66,58,58,53,47,46,50,50,48,51,47,45,50,58,44,41,57,54,56,40,44,53,58,54,50,47,47,49,50,53,54,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-29,46,55,55,42,44,43,46,37,43,58,51,52,43,49,39,45,45,53,43,42,68,53,45,39,45,47,47,53,43,45,51,46,55,59,51,47,51,47,59,46,60,37,62,42,58,46,59,51,52,47,47,45,52,46,48,52,51,60,58,41,58,57,57,44,41,59,45,52,53,49,51,51,49,57,57,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-01,47,54,50,42,45,43,48,40,46,47,45,46,41,44,37,46,51,64,46,47,62,56,48,44,46,49,45,55,42,45,51,54,61,58,52,50,52,49,63,51,52,33,64,48,54,57,58,54,56,45,48,48,48,46,51,44,50,55,55,43,50,57,56,50,43,57,52,52,57,47,45,51,47,50,51,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-02,50,61,56,38,45,48,52,38,49,51,52,49,37,42,34,49,50,69,43,46,59,45,46,41,46,49,44,51,42,49,48,49,59,47,47,48,52,46,61,54,51,38,53,50,62,55,58,54,56,44,44,47,51,47,55,48,51,61,54,52,50,55,55,48,44,52,58,51,54,51,52,47,48,56,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-03,52,58,47,38,45,48,58,29,40,49,48,51,36,42,42,49,46,68,45,49,58,46,51,39,45,52,47,46,37,50,52,58,47,47,51,53,51,46,57,68,51,42,57,44,55,54,55,46,50,45,46,45,48,54,57,50,45,58,54,55,48,46,53,49,54,56,57,55,58,46,48,46,53,53,49,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-04,57,57,49,33,43,48,53,37,40,50,46,51,39,46,52,51,50,66,52,53,58,49,52,42,44,50,46,46,41,56,53,57,51,50,51,52,58,47,53,56,49,49,55,45,53,58,49,42,54,46,49,45,44,59,46,47,49,59,54,59,51,45,57,50,51,49,60,56,55,45,47,49,52,53,51,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-05,47,53,46,35,47,48,43,45,39,47,48,50,46,46,53,52,48,62,48,47,56,49,53,43,54,55,44,55,47,53,55,63,46,56,49,56,59,48,59,54,49,50,48,48,54,61,50,45,43,52,49,50,46,62,38,47,52,61,55,68,52,45,59,47,46,45,56,59,64,43,53,40,56,51,50,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-06,47,48,46,37,54,57,42,47,43,50,43,50,51,53,51,57,48,61,50,49,52,50,53,47,46,53,45,61,52,55,56,57,48,54,53,53,64,52,57,57,50,50,48,47,55,58,56,52,51,49,52,49,47,66,39,45,49,63,50,54,55,45,52,48,44,54,60,62,59,42,50,45,43,49,48,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",03-07,42,48,47,32,54,58,53,46,41,48,44,50,52,55,49,58,46,62,51,45,49,51,51,44,47,55,47,52,47,51,58,53,49,58,56,58,60,55,56,58,53,58,40,50,53,53,59,53,53,47,49,53,53,51,40,42,55,67,42,50,52,40,41,52,48,53,55,63,51,43,52,41,45,51,48,44
